N.;Direccion;Proyecto;Localidad
1;Cl 42 Sur 14 49 Este;C.A.S.C. - VIVIENDA - AOP5;AOP5
2;Cl 42 Sur 14 41 Este;C.A.S.C. - VIVIENDA - AOP5;AOP5
3;Cl 42 Sur 14 53 Este;C.A.S.C. - VIVIENDA - AOP5;AOP5
4;Cl 42 Sur 14 29 Este;C.A.S.C. - VIVIENDA - AOP5;AOP5
5;Cl 42 Sur 14 35;C.A.S.C. - VIVIENDA - AOP5;AOP5
6;Cl 42 Sur 14 25 Este;C.A.S.C. - VIVIENDA - AOP5;AOP5
7;Cl 42 Sur 14 69 Este;C.A.S.C. - VIVIENDA - AOP5;AOP5
8;CL 42 SUR 14 63 ESTE;C.A.S.C. - VIVIENDA - AOP5;AOP5
9;KR 14 ESTE 42 12 SUR;C.A.S.C. - VIVIENDA - AOP5;AOP5
10;Cl 42 Sur 14 61 Este;C.A.S.C. - VIVIENDA - AOP5;AOP5
11;Kr 14 Este 42 14 Sur;C.A.S.C. - VIVIENDA - AOP5;AOP5
12;KR 15 ESTE 42 15 SUR;C.A.S.C. - VIVIENDA - AOP5;AOP5
13;Kr 14 Este 42 10 Sur;C.A.S.C. - VIVIENDA - AOP5;AOP5
14;CL 27 19B 41;CALLE 26 EDO. UMAÑA;UMANA
15;CL 27 19B 49;CALLE 26 EDO. UMAÑA;UMANA
16;KR 20A 26 48;CALLE 26 EDO. UMAÑA;UMANA
17;AC 26 19B 26 IN 1;CALLE 26 EDO. UMAÑA;UMANA
18;KR 20A 26 58;CALLE 26 EDO. UMAÑA;UMANA
19;CL 37 BIS A SUR 2A 29 ESTE LC 8 TO 6;LA COLMENA;LA COLMENA
20;CL 37 BIS A SUR 2A 29 ESTE LC 9 TO 6;LA COLMENA;LA COLMENA
21;CL 37 BIS A SUR 2A 29 ESTE LC 2;LA COLMENA;LA COLMENA
22;CL 37 BIS A SUR 2A 29 ESTE LC 7 TO 6;LA COLMENA;LA COLMENA
23;CL 37 BIS A SUR 2A 29 ESTE LC 1;LA COLMENA;LA COLMENA
24;CL 37 BIS A SUR 2A 29 ESTE LC 10 TO 6;LA COLMENA;LA COLMENA
25;CL 37 BIS A SUR 2A 29 ESTE LC 6 TO 6;LA COLMENA;LA COLMENA
26;CL 37 BIS A SUR 2A 29 ESTE LC 3;LA COLMENA;LA COLMENA
27;CL 37 BIS A SUR 2A 29 ESTE LC 4 TO 6;LA COLMENA;LA COLMENA
28;CL 37 BIS A SUR 2A 29 ESTE LC 5 TO 6;LA COLMENA;LA COLMENA
29;CL 2A 4 31;LAS CRUCES;LAS CRUCES
30;CL 24A 13A 41 AP 102;ESTACIÓN CENTRAL;ESTACION CENTRAL
31;AK 14 24 06 AP 201;ESTACIÓN CENTRAL;ESTACION CENTRAL
32;CL 24B 13A 27;ESTACIÓN CENTRAL;ESTACION CENTRAL
33;CL 24A 13A 17 AP 102;ESTACIÓN CENTRAL;ESTACION CENTRAL
34;CL 24B 13A 39;ESTACIÓN CENTRAL;ESTACION CENTRAL
35;CL 24B 13A 19;ESTACIÓN CENTRAL;ESTACION CENTRAL
36;KR 13A 24A 47;ESTACIÓN CENTRAL;ESTACION CENTRAL
37;KR 13A 24A 35;ESTACIÓN CENTRAL;ESTACION CENTRAL
38;KR 13A 24A 27;ESTACIÓN CENTRAL;ESTACION CENTRAL
39;KR 13A 24A 19;ESTACIÓN CENTRAL;ESTACION CENTRAL
40;KR 13A 24A 13;ESTACIÓN CENTRAL;ESTACION CENTRAL
41;CL 24 13A 68;ESTACIÓN CENTRAL;ESTACION CENTRAL
42;CL 24A 13A 26;ESTACIÓN CENTRAL;ESTACION CENTRAL
43;CL 24A 13A 44;ESTACIÓN CENTRAL;ESTACION CENTRAL
44;CL 24A 13A 46;ESTACIÓN CENTRAL;ESTACION CENTRAL
45;CL 24A 13A 62;ESTACIÓN CENTRAL;ESTACION CENTRAL
46;CL 24A 13A 70;ESTACIÓN CENTRAL;ESTACION CENTRAL
