N.;Folio;Chip;Direccion;Proyecto
1;50S40280187;AAA0185KDMR;Cl 42 Sur 14 49 Este;C.A.S.C. - VIVIENDA - AOP5
2;50S40280186;AAA0185KDFZ;Cl 42 Sur 14 41 Este;C.A.S.C. - VIVIENDA - AOP5
3;50S40280188;AAA0185KDHK;Cl 42 Sur 14 53 Este;C.A.S.C. - VIVIENDA - AOP5
4;50S40280184;AAA0185KDEP;Cl 42 Sur 14 29 Este;C.A.S.C. - VIVIENDA - AOP5
5;50S40280185;AAA0185KDNX;Cl 42 Sur 14 35;C.A.S.C. - VIVIENDA - AOP5
6;50S40280183;AAA0185KDOM;Cl 42 Sur 14 25 Este;C.A.S.C. - VIVIENDA - AOP5
7;50S40280191;AAA0185KDKC;Cl 42 Sur 14 69 Este;C.A.S.C. - VIVIENDA - AOP5
8;50S40280190;AAA0185KDJZ;CL 42 SUR 14 63 ESTE;C.A.S.C. - VIVIENDA - AOP5
9;50S40280181;AAA0185KDBS;KR 14 ESTE 42 12 SUR;C.A.S.C. - VIVIENDA - AOP5
10;50S40280189;AAA0185KDLF;Cl 42 Sur 14 61 Este;C.A.S.C. - VIVIENDA - AOP5
11;50S40280180;AAA0185KDCN;Kr 14 Este 42 14 Sur;C.A.S.C. - VIVIENDA - AOP5
12;50S00149184;AAA0004DWKC;KR 15 ESTE 42 15 SUR;C.A.S.C. - VIVIENDA - AOP5
13;50S40280182;AAA0185KDDE;Kr 14 Este 42 10 Sur;C.A.S.C. - VIVIENDA - AOP5
14;50C01935332;AAA0248ARAW;CL 27 19B 41;CALLE 26 EDO. UMAÑA
15;50C01935342;AAA0248APYN;CL 27 19B 49;CALLE 26 EDO. UMAÑA
16;50C01935329;AAA0248ARCN;KR 20A 26 48;CALLE 26 EDO. UMAÑA
17;50C01935334;AAA0248ARBS;AC 26 19B 26 IN 1;CALLE 26 EDO. UMAÑA
18;50C01935335;AAA0248APXS;KR 20A 26 58;CALLE 26 EDO. UMAÑA
19;50S40745124;AAA0273XZCX;CL 37 BIS A SUR 2A 29 ESTE LC 8 TO 6;LA COLMENA
20;50S40745125;AAA0273XZDM;CL 37 BIS A SUR 2A 29 ESTE LC 9 TO 6;LA COLMENA
21;50S40745002;AAA0273XTMS;CL 37 BIS A SUR 2A 29 ESTE LC 2;LA COLMENA
22;50S40745123;AAA0273XZBR;CL 37 BIS A SUR 2A 29 ESTE LC 7 TO 6;LA COLMENA
23;50S40745001;AAA0273XTLW;CL 37 BIS A SUR 2A 29 ESTE LC 1;LA COLMENA
24;50S40745126;AAA0273XZEA;CL 37 BIS A SUR 2A 29 ESTE LC 10 TO 6;LA COLMENA
25;50S40745122;AAA0273XZAF;CL 37 BIS A SUR 2A 29 ESTE LC 6 TO 6;LA COLMENA
26;50S40745003;AAA0273XTNN;CL 37 BIS A SUR 2A 29 ESTE LC 3;LA COLMENA
27;50S40745120;AAA0273XYYN;CL 37 BIS A SUR 2A 29 ESTE LC 4 TO 6;LA COLMENA
28;50S40745121;AAA0273XYZE;CL 37 BIS A SUR 2A 29 ESTE LC 5 TO 6;LA COLMENA
